TIME,ETemp,STemp,GTemp,CH1,CH2,CH3,GPS
2021-02-24 00:00:00,43.60,42.35,-49.11,20747.11,1037.69,51082.21,13
2021-02-24 00:01:00,43.59,42.33,-49.10,20746.67,1037.25,51082.15,13
2021-02-24 00:02:00,43.59,42.34,-49.08,20747.25,1037.15,51082.08,13
2021-02-24 00:03:00,43.59,42.33,-49.08,20747.11,1037.32,51082.17,13
2021-02-24 00:04:00,43.61,42.34,-49.10,20747.64,1037.34,51082.05,13
2021-02-24 00:05:00,43.60,42.33,-49.11,20747.47,1037.54,51081.90,13
2021-02-24 00:06:00,43.60,42.34,-49.13,20747.87,1037.11,51081.84,13
2021-02-24 00:07:00,43.61,42.34,-49.10,20748.73,1036.93,51081.71,13
2021-02-24 00:08:00,43.60,42.33,-49.10,20749.15,1036.75,51081.61,13
2021-02-24 00:09:00,43.60,42.34,-49.09,20749.38,1037.29,51081.53,13
2021-02-24 00:10:00,43.60,42.35,-49.10,20749.75,1037.91,51081.40,13
2021-02-24 00:11:00,43.60,42.34,-49.13,20748.99,1037.95,51081.52,13
2021-02-24 00:12:00,43.60,42.34,-49.10,20748.78,1038.50,51081.71,13
2021-02-24 00:13:00,43.58,42.34,-49.12,20748.73,1038.89,51081.70,13
2021-02-24 00:14:00,43.59,42.33,-49.12,20749.08,1038.71,51081.49,13
2021-02-24 00:15:00,43.60,42.35,-49.13,20749.54,1038.57,51081.72,13
2021-02-24 00:16:00,43.61,42.34,-49.07,20749.69,1037.91,51081.57,13
2021-02-24 00:17:00,43.59,42.34,-49.15,20750.21,1038.25,51081.53,13
2021-02-24 00:18:00,43.61,42.34,-49.06,20749.72,1038.66,51081.59,13
2021-02-24 00:19:00,43.60,42.34,-49.10,20749.27,1039.36,51081.85,13
2021-02-24 00:20:00,43.61,42.33,-49.09,20749.12,1040.76,51082.08,13
2021-02-24 00:21:00,43.61,42.34,-49.10,20749.76,1041.16,51081.97,13
2021-02-24 00:22:00,43.59,42.34,-49.10,20749.43,1040.52,51081.92,13
2021-02-24 00:23:00,43.61,42.34,-49.08,20749.09,1040.78,51082.02,13
2021-02-24 00:24:00,43.60,42.33,-49.09,20748.99,1040.13,51081.97,13
2021-02-24 00:25:00,43.59,42.34,-49.08,20748.52,1041.11,51082.09,13
2021-02-24 00:26:00,43.60,42.33,-49.10,20748.34,1041.60,51082.25,13
2021-02-24 00:27:00,43.60,42.34,-49.11,20748.63,1042.17,51082.57,13
2021-02-24 00:28:00,43.60,42.33,-49.13,20749.32,1042.21,51082.43,13
2021-02-24 00:29:00,43.60,42.34,-49.14,20749.32,1042.69,51082.57,13
2021-02-24 00:30:00,43.60,42.33,-49.09,20748.74,1042.51,51082.54,13
2021-02-24 00:31:00,43.59,42.34,-49.15,20748.94,1042.89,51082.56,13
2021-02-24 00:32:00,43.60,42.34,-49.14,20749.21,1042.73,51082.44,13
2021-02-24 00:33:00,43.60,42.33,-49.09,20750.50,1043.67,51082.74,13
2021-02-24 00:34:00,43.60,42.33,-49.08,20749.96,1043.67,51082.77,13
2021-02-24 00:35:00,43.59,42.34,-49.11,20749.60,1043.40,51082.76,13
2021-02-24 00:36:00,43.61,42.33,-49.10,20749.30,1043.58,51082.86,13
2021-02-24 00:37:00,43.61,42.34,-49.13,20749.57,1045.39,51082.94,13
2021-02-24 00:38:00,43.60,42.33,-49.10,20750.21,1045.31,51082.95,13
2021-02-24 00:39:00,43.61,42.34,-49.14,20750.45,1045.55,51082.93,13
2021-02-24 00:40:00,43.59,42.34,-49.10,20750.28,1045.22,51082.72,13
2021-02-24 00:41:00,43.60,42.35,-49.12,20750.88,1044.45,51082.87,13
2021-02-24 00:42:00,43.60,42.35,-49.10,20751.17,1044.62,51082.81,13
2021-02-24 00:43:00,43.59,42.34,-49.14,20751.63,1045.70,51082.92,13
2021-02-24 00:44:00,43.60,42.34,-49.14,20751.10,1046.70,51082.90,13
2021-02-24 00:45:00,43.60,42.34,-49.11,20752.30,1048.63,51083.05,13
2021-02-24 00:46:00,43.60,42.35,-49.12,20752.33,1047.76,51083.21,13
2021-02-24 00:47:00,43.60,42.34,-49.07,20753.58,1048.61,51082.93,13
2021-02-24 00:48:00,43.60,42.34,-49.13,20754.43,1047.23,51083.39,13
2021-02-24 00:49:00,43.62,42.33,-49.10,20754.34,1046.49,51083.25,13
2021-02-24 00:50:00,43.60,42.34,-49.11,20753.83,1048.83,51083.87,13
2021-02-24 00:51:00,43.61,42.34,-49.09,20750.90,1048.95,51083.64,13
2021-02-24 00:52:00,43.60,42.32,-49.13,20744.84,1050.00,51085.27,13
2021-02-24 00:53:00,43.61,42.33,-49.13,20741.95,1048.59,51085.25,13
2021-02-24 00:54:00,43.60,42.34,-49.11,20742.34,1048.97,51084.97,13
2021-02-24 00:55:00,43.60,42.34,-49.12,20744.88,1050.77,51085.76,13
2021-02-24 00:56:00,43.60,42.34,-49.07,20746.07,1049.96,51084.90,13
2021-02-24 00:57:00,43.60,42.34,-49.15,20747.00,1051.18,51084.30,13
2021-02-24 00:58:00,43.59,42.34,-49.13,20750.06,1053.54,51084.36,13
2021-02-24 00:59:00,43.60,42.34,-49.15,20751.38,1051.73,51083.48,13
2021-02-24 01:00:00,43.61,42.33,-49.10,20754.33,1054.59,51083.59,13
2021-02-24 01:01:00,43.61,42.34,-49.12,20755.65,1053.60,51083.57,13
2021-02-24 01:02:00,43.59,42.33,-49.10,20756.41,1053.07,51083.29,13
2021-02-24 01:03:00,43.60,42.35,-49.13,20756.19,1052.65,51083.35,13
2021-02-24 01:04:00,43.60,42.35,-49.13,20756.04,1052.44,51083.26,13
2021-02-24 01:05:00,43.61,42.34,-49.12,20754.91,1051.07,51083.41,13
2021-02-24 01:06:00,43.60,42.34,-49.10,20754.22,1050.51,51083.19,13
2021-02-24 01:07:00,43.59,42.35,-49.11,20753.01,1049.04,51083.44,13
2021-02-24 01:08:00,43.61,42.34,-49.11,20753.64,1049.81,51083.67,13
2021-02-24 01:09:00,43.60,42.33,-49.08,20753.25,1048.53,51083.49,13
2021-02-24 01:10:00,43.60,42.34,-49.08,20753.65,1049.48,51083.68,13
2021-02-24 01:11:00,43.60,42.33,-49.11,20753.51,1048.69,51083.09,13
2021-02-24 01:12:00,43.60,42.34,-49.12,20753.25,1048.93,51083.07,13
2021-02-24 01:13:00,43.61,42.34,-49.09,20752.94,1048.87,51083.14,13
2021-02-24 01:14:00,43.59,42.34,-49.10,20752.76,1049.99,51084.04,13
2021-02-24 01:15:00,43.61,42.33,-49.13,20751.75,1051.20,51084.23,13
2021-02-24 01:16:00,43.60,42.35,-49.13,20751.16,1050.92,51084.25,13
2021-02-24 01:17:00,43.60,42.34,-49.09,20750.93,1051.19,51083.68,13
2021-02-24 01:18:00,43.59,42.33,-49.13,20749.57,1051.28,51083.85,13
2021-02-24 01:19:00,43.61,42.34,-49.12,20749.61,1050.95,51084.77,13
2021-02-24 01:20:00,43.60,42.33,-49.06,20748.11,1051.59,51084.75,13
2021-02-24 01:21:00,43.59,42.33,-49.09,20747.33,1052.22,51084.29,13
2021-02-24 01:22:00,43.61,42.34,-49.13,20746.48,1052.87,51084.98,13
2021-02-24 01:23:00,43.59,42.34,-49.08,20745.42,1053.94,51085.31,13
2021-02-24 01:24:00,43.61,42.33,-49.08,20745.41,1054.96,51085.50,13
2021-02-24 01:25:00,43.60,42.34,-49.12,20746.09,1056.58,51085.53,13
2021-02-24 01:26:00,43.59,42.33,-49.10,20744.77,1058.12,51086.06,13
2021-02-24 01:27:00,43.61,42.33,-49.10,20744.10,1059.35,51086.53,13
2021-02-24 01:28:00,43.61,42.33,-49.12,20742.94,1061.36,51086.62,13
2021-02-24 01:29:00,43.60,42.35,-49.11,20742.32,1061.92,51086.80,13
2021-02-24 01:30:00,43.61,42.34,-49.09,20742.14,1062.52,51087.18,13
2021-02-24 01:31:00,43.59,42.34,-49.10,20741.64,1062.81,51087.42,13
2021-02-24 01:32:00,43.61,42.33,-49.11,20741.83,1064.31,51087.65,13
2021-02-24 01:33:00,43.59,42.34,-49.10,20741.30,1065.11,51087.90,13
2021-02-24 01:34:00,43.60,42.34,-49.10,20741.43,1065.95,51088.21,13
2021-02-24 01:35:00,43.60,42.33,-49.08,20742.10,1067.55,51088.12,13
2021-02-24 01:36:00,43.60,42.34,-49.10,20742.89,1068.46,51088.27,13
2021-02-24 01:37:00,43.59,42.33,-49.14,20744.06,1068.96,51088.10,13
2021-02-24 01:38:00,43.60,42.35,-49.14,20744.63,1069.05,51087.76,13
2021-02-24 01:39:00,43.60,42.34,-49.13,20745.30,1068.88,51087.73,13
2021-02-24 01:40:00,43.60,42.33,-49.13,20745.86,1068.96,51087.78,13
2021-02-24 01:41:00,43.60,42.34,-49.12,20746.73,1067.85,51087.46,13
2021-02-24 01:42:00,43.61,42.34,-49.07,20747.56,1067.65,51087.34,13
2021-02-24 01:43:00,43.60,42.34,-49.12,20746.98,1065.22,51087.08,13
2021-02-24 01:44:00,43.60,42.34,-49.10,20747.17,1065.37,51087.10,13
2021-02-24 01:45:00,43.60,42.34,-49.10,20748.11,1066.57,51087.11,13
2021-02-24 01:46:00,43.60,42.33,-49.07,20748.77,1067.54,51086.87,13
2021-02-24 01:47:00,43.60,42.34,-49.11,20749.58,1066.36,51086.64,13
2021-02-24 01:48:00,43.59,42.34,-49.13,20750.64,1064.82,51086.28,13
2021-02-24 01:49:00,43.60,42.33,-49.14,20751.04,1062.74,51085.89,13
2021-02-24 01:50:00,43.60,42.34,-49.12,20751.39,1061.59,51085.71,13
2021-02-24 01:51:00,43.60,42.33,-49.10,20752.16,1060.27,51085.25,13
2021-02-24 01:52:00,43.60,42.33,-49.12,20751.94,1058.90,51085.14,13
2021-02-24 01:53:00,43.60,42.33,-49.11,20751.66,1057.28,51084.82,13
2021-02-24 01:54:00,43.60,42.34,-49.11,20751.40,1056.51,51084.89,13
2021-02-24 01:55:00,43.60,42.34,-49.08,20750.29,1055.85,51085.09,13
2021-02-24 01:56:00,43.60,42.34,-49.11,20749.75,1055.83,51085.07,13
2021-02-24 01:57:00,43.59,42.34,-49.12,20748.59,1055.46,51085.20,13
2021-02-24 01:58:00,43.59,42.34,-49.10,20748.05,1054.98,51085.36,13
2021-02-24 01:59:00,43.62,42.34,-49.13,20747.43,1055.32,51085.67,13
2021-02-24 02:00:00,43.60,42.34,-49.08,20747.05,1056.41,51085.92,13
2021-02-24 02:01:00,43.59,42.34,-49.08,20747.16,1057.60,51086.00,13
2021-02-24 02:02:00,43.60,42.33,-49.10,20747.34,1059.27,51086.05,13
2021-02-24 02:03:00,43.61,42.34,-49.13,20748.38,1060.02,51085.99,13
2021-02-24 02:04:00,43.61,42.34,-49.10,20748.09,1060.52,51085.94,13
2021-02-24 02:05:00,43.59,42.35,-49.08,20748.75,1059.89,51085.68,13
2021-02-24 02:06:00,43.60,42.34,-49.11,20749.09,1059.62,51085.43,13
2021-02-24 02:07:00,43.59,42.33,-49.11,20749.08,1058.90,51085.29,13
2021-02-24 02:08:00,43.60,42.33,-49.14,20748.74,1057.54,51085.18,13
2021-02-24 02:09:00,43.60,42.34,-49.10,20748.67,1056.88,51085.12,13
2021-02-24 02:10:00,43.61,42.33,-49.08,20748.52,1056.45,51085.20,13
2021-02-24 02:11:00,43.59,42.34,-49.13,20748.45,1056.34,51085.15,13
2021-02-24 02:12:00,43.61,42.33,-49.08,20747.77,1055.33,51085.40,13
2021-02-24 02:13:00,43.60,42.34,-49.13,20747.32,1055.15,51085.37,13
2021-02-24 02:14:00,43.60,42.33,-49.10,20746.97,1054.97,51085.68,13
2021-02-24 02:15:00,43.59,42.35,-49.10,20746.77,1055.11,51085.74,13
2021-02-24 02:16:00,43.58,42.33,-49.11,20746.47,1055.83,51086.13,13
2021-02-24 02:17:00,43.60,42.34,-49.10,20746.98,1055.90,51086.19,13
2021-02-24 02:18:00,43.60,42.33,-49.10,20746.19,1055.96,51086.02,13
2021-02-24 02:19:00,43.61,42.34,-49.10,20746.11,1054.84,51086.02,13
2021-02-24 02:20:00,43.61,42.33,-49.09,20745.30,1054.47,51086.27,13
2021-02-24 02:21:00,43.60,42.35,-49.10,20744.94,1054.41,51086.20,13
2021-02-24 02:22:00,43.60,42.33,-49.07,20744.84,1054.67,51086.56,13
2021-02-24 02:23:00,43.60,42.34,-49.14,20744.68,1055.14,51086.93,13
2021-02-24 02:24:00,43.59,42.34,-49.07,20744.85,1054.95,51086.78,13
2021-02-24 02:25:00,43.60,42.33,-49.12,20744.94,1055.08,51086.73,13
2021-02-24 02:26:00,43.60,42.33,-49.08,20745.33,1054.28,51086.62,13
2021-02-24 02:27:00,43.61,42.34,-49.14,20744.92,1053.92,51086.91,13
2021-02-24 02:28:00,43.60,42.34,-49.10,20745.05,1054.57,51087.11,13
2021-02-24 02:29:00,43.59,42.34,-49.10,20744.46,1055.83,51087.34,13
2021-02-24 02:30:00,43.60,42.34,-49.12,20744.31,1057.42,51087.47,13
2021-02-24 02:31:00,43.59,42.34,-49.08,20744.44,1057.42,51087.45,13
2021-02-24 02:32:00,43.60,42.32,-49.10,20744.68,1056.94,51087.65,13
2021-02-24 02:33:00,43.59,42.34,-49.10,20744.32,1057.23,51087.76,13
2021-02-24 02:34:00,43.60,42.34,-49.13,20743.76,1057.95,51088.02,13
2021-02-24 02:35:00,43.60,42.34,-49.12,20743.54,1058.91,51088.37,13
2021-02-24 02:36:00,43.60,42.34,-49.10,20743.80,1060.45,51088.73,13
2021-02-24 02:37:00,43.60,42.34,-49.11,20744.67,1061.66,51088.67,13
2021-02-24 02:38:00,43.58,42.34,-49.11,20745.50,1061.97,51088.68,13
2021-02-24 02:39:00,43.60,42.34,-49.12,20746.44,1061.58,51088.47,13
2021-02-24 02:40:00,43.60,42.33,-49.08,20747.39,1061.32,51088.41,13
2021-02-24 02:41:00,43.61,42.33,-49.08,20747.51,1061.54,51088.14,13
2021-02-24 02:42:00,43.60,42.33,-49.16,20748.69,1060.97,51087.97,13
2021-02-24 02:43:00,43.60,42.34,-49.10,20749.27,1060.28,51087.75,13
2021-02-24 02:44:00,43.61,42.33,-49.11,20749.47,1059.25,51087.52,13
2021-02-24 02:45:00,43.59,42.33,-49.10,20749.34,1057.35,51087.23,13
2021-02-24 02:46:00,43.59,42.34,-49.11,20749.01,1056.47,51087.32,13
2021-02-24 02:47:00,43.61,42.33,-49.10,20748.38,1056.00,51087.34,13
2021-02-24 02:48:00,43.59,42.34,-49.11,20747.63,1055.85,51087.32,13
2021-02-24 02:49:00,43.60,42.34,-49.08,20747.33,1055.79,51087.45,13
2021-02-24 02:50:00,43.60,42.33,-49.10,20747.12,1055.70,51087.33,13
2021-02-24 02:51:00,43.61,42.34,-49.10,20747.17,1055.25,51087.45,13
2021-02-24 02:52:00,43.60,42.33,-49.09,20747.00,1055.39,51087.38,13
2021-02-24 02:53:00,43.60,42.34,-49.08,20746.89,1056.42,51087.92,13
2021-02-24 02:54:00,43.59,42.34,-49.14,20746.57,1057.10,51087.92,13
2021-02-24 02:55:00,43.59,42.34,-49.11,20745.97,1056.78,51088.01,13
2021-02-24 02:56:00,43.60,42.34,-49.11,20745.84,1058.54,51088.22,13
2021-02-24 02:57:00,43.60,42.33,-49.08,20745.49,1060.38,51088.56,13
2021-02-24 02:58:00,43.60,42.33,-49.11,20744.85,1061.58,51088.54,13
2021-02-24 02:59:00,43.60,42.33,-49.12,20745.21,1062.18,51088.61,13
2021-02-24 03:00:00,43.59,42.34,-49.13,20745.74,1062.31,51088.71,13
2021-02-24 03:01:00,43.61,42.34,-49.11,20746.56,1061.99,51088.53,13
2021-02-24 03:02:00,43.59,42.33,-49.10,20746.80,1061.23,51088.40,13
2021-02-24 03:03:00,43.61,42.34,-49.13,20746.81,1060.48,51088.34,13
2021-02-24 03:04:00,43.62,42.34,-49.13,20746.10,1060.22,51088.45,13
2021-02-24 03:05:00,43.60,42.33,-49.10,20745.19,1059.85,51088.75,13
2021-02-24 03:06:00,43.60,42.34,-49.13,20744.08,1059.07,51088.94,13
2021-02-24 03:07:00,43.60,42.35,-49.10,20743.32,1058.59,51088.96,13
2021-02-24 03:08:00,43.60,42.33,-49.08,20743.34,1059.34,51089.59,13
2021-02-24 03:09:00,43.60,42.33,-49.17,20743.37,1059.45,51089.75,13
2021-02-24 03:10:00,43.61,42.33,-49.11,20743.25,1059.58,51089.60,13
2021-02-24 03:11:00,43.60,42.34,-49.11,20743.57,1059.83,51089.75,13
2021-02-24 03:12:00,43.60,42.34,-49.11,20743.95,1060.06,51089.86,13
2021-02-24 03:13:00,43.60,42.33,-49.09,20744.81,1060.20,51090.01,13
2021-02-24 03:14:00,43.60,42.33,-49.10,20744.81,1059.76,51089.93,13
2021-02-24 03:15:00,43.60,42.34,-49.11,20744.83,1059.81,51090.01,13
2021-02-24 03:16:00,43.60,42.33,-49.08,20744.28,1059.68,51090.31,13
2021-02-24 03:17:00,43.59,42.33,-49.06,20744.55,1060.11,51090.40,13
2021-02-24 03:18:00,43.60,42.33,-49.10,20744.79,1061.37,51090.56,13
2021-02-24 03:19:00,43.60,42.34,-49.08,20744.22,1061.98,51090.63,13
2021-02-24 03:20:00,43.60,42.34,-49.10,20743.95,1062.53,51090.75,13
2021-02-24 03:21:00,43.61,42.34,-49.08,20743.42,1062.19,51090.83,13
2021-02-24 03:22:00,43.59,42.33,-49.07,20743.24,1062.34,51090.90,13
2021-02-24 03:23:00,43.60,42.32,-49.06,20742.60,1062.47,51091.14,13
2021-02-24 03:24:00,43.60,42.34,-49.08,20742.24,1062.22,51090.96,13
2021-02-24 03:25:00,43.60,42.33,-49.15,20742.13,1062.01,51091.15,13
2021-02-24 03:26:00,43.61,42.34,-49.11,20741.72,1062.15,51091.30,13
2021-02-24 03:27:00,43.59,42.34,-49.13,20742.01,1062.25,51091.31,13
2021-02-24 03:28:00,43.59,42.34,-49.12,20742.69,1062.25,51091.34,13
2021-02-24 03:29:00,43.59,42.35,-49.11,20743.70,1061.79,51091.38,13
2021-02-24 03:30:00,43.60,42.34,-49.10,20744.01,1061.03,51091.62,13
2021-02-24 03:31:00,43.60,42.33,-49.12,20743.75,1060.38,51091.50,13
2021-02-24 03:32:00,43.61,42.34,-49.09,20743.77,1059.56,51091.67,13
2021-02-24 03:33:00,43.60,42.33,-49.16,20743.56,1058.74,51091.23,13
2021-02-24 03:34:00,43.60,42.33,-49.08,20743.70,1058.45,51091.81,13
2021-02-24 03:35:00,43.60,42.33,-49.14,20743.67,1058.29,51092.06,13
2021-02-24 03:36:00,43.60,42.33,-49.10,20743.37,1058.33,51092.14,13
2021-02-24 03:37:00,43.60,42.34,-49.11,20742.97,1058.66,51092.22,13
2021-02-24 03:38:00,43.59,42.34,-49.15,20743.15,1058.84,51092.26,13
2021-02-24 03:39:00,43.60,42.33,-49.09,20742.88,1059.39,51092.35,13
2021-02-24 03:40:00,43.60,42.34,-49.09,20742.94,1059.17,51091.49,13
2021-02-24 03:41:00,43.61,42.34,-49.09,20743.02,1059.77,51092.25,13
2021-02-24 03:42:00,43.61,42.34,-49.11,20743.02,1060.17,51091.76,13
2021-02-24 03:43:00,43.60,42.34,-49.12,20743.58,1060.89,51091.83,13
2021-02-24 03:44:00,43.60,42.34,-49.06,20743.91,1061.08,51091.86,13
2021-02-24 03:45:00,43.61,42.34,-49.10,20744.46,1061.59,51091.50,13
